"company","variable","value"
"Adecoagro","Current assets",7233.51
"Adecoagro","Debt",9783.33
"Adecoagro","Liabilities",13002.08
"Adecoagro","Equity",9008.24
"Archer Daniels Midland","Current assets",255134
"Archer Daniels Midland","Debt",85744
"Archer Daniels Midland","Liabilities",266715
"Archer Daniels Midland","Equity",202261
"Baidu","Current assets",1553617
"Baidu","Debt",637169
"Baidu","Liabilities",1158895
"Baidu","Equity",1526703
"CVS","Current assets",462825
"CVS","Debt",568476
"CVS","Liabilities",1150944
"CVS","Equity",564158
"Disney","Current assets",240500
"Disney","Debt",353286
"Disney","Liabilities",747104
"Disney","Equity",678134
"Elevance Health","Current assets",419261
"Elevance Health","Debt",198164
"Elevance Health","Liabilities",499570
"Elevance Health","Equity",303975
"Fresh del Monte","Current assets",10691.9
"Fresh del Monte","Debt",5218.4
"Fresh del Monte","Liabilities",12325.2
"Fresh del Monte","Equity",17757
"Google","Current assets",1385504
"Google","Debt",141340
"Google","Liabilities",688180
"Google","Equity",1908501
"Honda","Current assets",78538253
"Honda","Debt",78959942
"Honda","Liabilities",124457714
"Honda","Equity",88815248
"Meta","Current assets",521961
"Meta","Debt",99023
"Meta","Liabilities",279135
"Meta","Equity",931086
"Netflix","Current assets",75638
"Netflix","Debt",98836.85
"Netflix","Liabilities",199543
"Netflix","Equity",91443
"Tesla","Current assets",183553
"Tesla","Debt",74920
"Tesla","Liabilities",239612
"Tesla","Equity",182278.71
"Toyota","Current assets",217947221
"Toyota","Debt",244539064
"Toyota","Liabilities",363710551
"Toyota","Equity",222522061
"United Health Group","Current assets",470466
"United Health Group","Debt",400895
"United Health Group","Liabilities",1102347
"United Health Group","Equity",565425
"Warner Bros","Current assets",68639
"Warner Bros","Debt",192595
"Warner Bros","Liabilities",295741
"Warner Bros","Equity",153491
