"year","warner_bros_discovery","tesla","toyota_motor","netflix","meta","honda_motor","google","fresh_del_monte","elevance_health","walt_disney_cia","cvs","united_health_group","baidu","adecoagro","archer_daniels_midland"
2014,0.0246740811666789,-0.00679858127823686,0.0364667477324084,0.00916876297304356,0.0242930836599266,0.0235651627853931,0.0544387238940786,0.0465359477124183,0.0319731674212085,0.0511282500451573,0.0270497117085528,0.0327727534128807,0.0473001936881463,0.00499147140676901,0.0479342226467879
2015,0.0223994731574592,-0.0205469570082913,0.0388050218973093,0.00421460678790878,0.0304737729720439,0.0159371246569519,0.0629572904796546,0.0203921568627451,0.0318487582094529,0.0571333144752044,0.0305037338970049,0.033904256200227,0.120657249398936,-0.00250920190322291,0.0394263245880386
2016,0.0258655425048417,-0.0156047833304817,0.0307244386163324,0.00641538482686571,0.0844225971950578,0.028520908169692,0.0750111392196423,0.073562091503268,0.0307290753036518,0.0640108513763594,0.0309697065362565,0.0409265724680875,0.0416909792362293,0.00519346440434509,0.0272721845041111
2017,-0.00730040856292432,-0.0453639520742101,0.0418468958394484,0.0192080085776733,0.131661903073901,0.0490022257002169,0.048762246883618,0.0394771241830065,0.047810460077706,0.0612093968011615,0.0385708852140474,0.0615794145814548,0.0655937595428329,0.00592512792889846,0.0340102691822183
2018,0.0128677824521574,-0.0225663696352849,0.0315929941422655,0.0416168364331175,0.18271043057425,0.0282316603502508,0.118366483984748,-0.00715686274509804,0.0466534544083782,0.0858703764923198,-0.00345984684644279,0.0699082082944987,0.0988261150688231,-0.0110512613340515,0.0385947255296646
2019,0.0448206092483395,-0.0199305436737865,0.0341646829567541,0.0641607214043191,0.152740697773382,0.0210816466846443,0.132257293059871,0.0217320261437908,0.0598035080909531,0.0753461773095812,0.0386407811099352,0.0807158096602342,0.00737262244574653,-0.000345632462519077,0.0294044897819931
2020,0.0264071158403702,0.0166704431424595,0.0376735539894922,0.0948836378132432,0.240832046378306,0.0304108024462141,0.155078733198263,0.016078431372549,0.0568798916146947,-0.0195215715410386,0.0418152197148364,0.0898378218221394,0.0805433017019038,0.00018403806445821,0.0377844495240695
2021,0.0217929110216673,0.127606346329034,0.0478224014762612,0.175814810232724,0.325312484248745,0.0327071146567856,0.292808396564692,0.0261437908496732,0.0766111925991448,0.0135983014051578,0.0466030885831461,0.100814565357117,0.0366516466359767,0.0586542777628153,0.057764149977824
2022,-0.159677482247226,0.290310796250653,0.0411310137299913,0.154370626967435,0.191700524119148,0.0301328414439716,0.230956363142026,0.0322222222222222,0.073326789408795,0.0214369212627676,0.0251101005976682,0.117349670522719,0.0270926850108887,0.0485411616841727,0.0925420490600798
2023,-0.067718329874485,0.34674984161923,0.0829717348450455,0.185849588299174,0.32306496086252,0.0512150432179863,0.284189702162106,-0.00372549019607843,0.0744837950781228,0.0160453140389682,0.0486009462739372,0.130536927235039,0.0728122629972488,0.101575545381093,0.0742681928286309
