"year","month","line_id","word","value"
"2014","03",10,"justice",2
"2014","03",11,"safety",1
"2014","03",11,"defects",-3
"2014","03",14,"limited",-1
"2014","03",16,"limited",-1
"2014","05",21,"trouble",-2
"2014","09",24,"defect",-3
"2014","12",31,"intact",2
"2015","03",36,"top",2
"2015","06",38,"arrested",-3
"2015","07",39,"jailed",-2
"2015","07",39,"resigns",-1
"2015","09",42,"intelligent",2
"2015","11",48,"drop",-1
"2015","11",49,"expands",1
"2016","05",53,"expands",1
"2016","06",55,"stall",-2
"2017","01",60,"warning",-3
"2017","10",67,"demands",-1
"2017","10",67,"clarity",2
"2018","03",71,"accident",-2
"2019","10",74,"support",2
"2019","10",74,"shocks",-2
"2021","01",75,"pay",-1
"2021","01",75,"fine",2
"2021","01",75,"clean",2
"2021","07",77,"stop",-1
"2021","07",79,"clean",2
"2021","07",79,"critics",-2
"2021","07",79,"delay",-1
"2021","08",81,"hurt",-2
"2021","08",81,"shortage",-2
"2021","09",82,"cut",-1
"2021","09",82,"shortage",-2
"2021","10",83,"cut",-1
"2021","10",83,"shortages",-2
"2021","12",85,"lagging",-2
"2021","12",85,"expand",1
"2022","02",87,"stops",-1
"2022","04",88,"shortage",-2
"2023","01",90,"top",2
"2023","09",92,"struggles",-2
"2023","11",94,"fire",-2
"2023","11",94,"risk",-2
